step_or_epoch,train_loss,val_loss
200,0.0224,0.01972273737192154
400,0.0191,0.018121609464287758
600,0.0185,0.01713242009282112
800,0.0183,0.01629963330924511
1000,0.0155,0.015754565596580505
1200,0.0125,0.015451496466994286
1400,0.0136,0.015367353335022926
1600,0.0125,0.015148855745792389
1800,0.0109,0.014880803413689137
2000,0.0118,0.014839927665889263
2200,0.0099,0.014614428393542767
2400,0.0104,0.014639045111835003
2600,0.0088,0.014513794332742691
2800,0.0097,0.014416512101888657
3000,0.0107,0.014403878711163998
